2026-05-16 21:55:48.196 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-16 21:55:48.197 | WARNING  | backend.main:lifespan:20 - 发现中断任务 37786109，正在尝试自动重启...
2026-05-16 21:55:48.198 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 37786109 的深度逻辑 Pipeline
2026-05-16 21:55:48.201 | SUCCESS  | pipeline.core:run_pipeline:35 - ℹ️ 状态机命中 [translating] 且物理资产完备，安全跳过物理提取步骤。
2026-05-16 21:55:48.203 | WARNING  | pipeline.core:run_pipeline:88 - ⚠️ 校验未通过：PDF 总锚点 10 段，已翻译 2 段。正在对剩余 8 段进行断点续传...
2026-05-16 21:57:29.426 | INFO     | pipeline.llm_agent:translate_to_structured_logic:73 - 🔄 正在尝试对截断的 JSON 字符串进行物理括号补齐重构...
2026-05-16 21:58:46.467 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-16 21:58:46.542 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-16 21:58:46.543 | WARNING  | backend.main:lifespan:20 - 发现中断任务 37786109，正在尝试自动重启...
2026-05-16 21:58:46.544 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 37786109 的深度逻辑 Pipeline
2026-05-16 21:58:46.548 | SUCCESS  | pipeline.core:run_pipeline:35 - ℹ️ 状态机命中 [translating] 且物理资产完备，安全跳过物理提取步骤。
2026-05-16 21:58:46.551 | WARNING  | pipeline.core:run_pipeline:88 - ⚠️ 校验未通过：PDF 总锚点 10 段，已翻译 2 段。正在对剩余 8 段进行断点续传...
2026-05-16 22:00:00.377 | INFO     | backend.main:<module>:57 - >>> PaperLean 全栈安全日志总线物理挂载成功 <<<
2026-05-16 22:00:00.454 | INFO     | backend.main:lifespan:17 - 正在检查未完成的待恢复任务...
2026-05-16 22:00:00.455 | WARNING  | backend.main:lifespan:20 - 发现中断任务 37786109，正在尝试自动重启...
2026-05-16 22:00:00.456 | INFO     | pipeline.core:run_pipeline:13 - >>> 启动项目 37786109 的深度逻辑 Pipeline
2026-05-16 22:00:00.459 | SUCCESS  | pipeline.core:run_pipeline:35 - ℹ️ 状态机命中 [translating] 且物理资产完备，安全跳过物理提取步骤。
2026-05-16 22:00:00.461 | WARNING  | pipeline.core:run_pipeline:88 - ⚠️ 校验未通过：PDF 总锚点 10 段，已翻译 2 段。正在对剩余 8 段进行断点续传...
2026-05-16 22:01:47.707 | INFO     | pipeline.llm_agent:translate_to_structured_logic:73 - 🔄 正在尝试对截断的 JSON 字符串进行物理括号补齐重构...
2026-05-16 22:03:36.442 | INFO     | pipeline.llm_agent:translate_to_structured_logic:73 - 🔄 正在尝试对截断的 JSON 字符串进行物理括号补齐重构...
2026-05-16 22:05:08.271 | INFO     | pipeline.llm_agent:translate_to_structured_logic:73 - 🔄 正在尝试对截断的 JSON 字符串进行物理括号补齐重构...
2026-05-16 22:05:08.428 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 400 - {'error': {'message': 'Access denied, please make sure your account is in good standing. For details, see: https://help.aliyun.com/zh/model-studio/error-code#overdue-payment', 'type': 'Arrearage', 'param': None, 'code': 'Arrearage'}, 'id': 'chatcmpl-1c761da5-d36b-9fa5-80e1-e9f24161d184', 'request_id': '1c761da5-d36b-9fa5-80e1-e9f24161d184'}
2026-05-16 22:05:08.567 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 400 - {'error': {'message': 'Access denied, please make sure your account is in good standing. For details, see: https://help.aliyun.com/zh/model-studio/error-code#overdue-payment', 'type': 'Arrearage', 'param': None, 'code': 'Arrearage'}, 'id': 'chatcmpl-9ac16b01-501b-9d9a-bb02-92259d29df55', 'request_id': '9ac16b01-501b-9d9a-bb02-92259d29df55'}
2026-05-16 22:05:08.713 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 400 - {'error': {'message': 'Access denied, please make sure your account is in good standing. For details, see: https://help.aliyun.com/zh/model-studio/error-code#overdue-payment', 'type': 'Arrearage', 'param': None, 'code': 'Arrearage'}, 'id': 'chatcmpl-6b80f6fa-1dfb-9434-8031-168da52b313e', 'request_id': '6b80f6fa-1dfb-9434-8031-168da52b313e'}
2026-05-16 22:05:08.868 | ERROR    | pipeline.llm_agent:translate_to_structured_logic:82 - API 关键调用失败: Error code: 400 - {'error': {'message': 'Access denied, please make sure your account is in good standing. For details, see: https://help.aliyun.com/zh/model-studio/error-code#overdue-payment', 'type': 'Arrearage', 'param': None, 'code': 'Arrearage'}, 'id': 'chatcmpl-9d4b66c3-7389-9337-af69-115611e06f7d', 'request_id': '9d4b66c3-7389-9337-af69-115611e06f7d'}
